ticker,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,url,d_domain[],address1,address2,city,state,zip,country,fullTimeEmployees,,url,TickerSymbol,dk,CorpNameKITTB,CorpAddress,CorpCity,CorpState,CorpZip,CorpCountry,PublicOrPrivate,NumEmployees,Industry,SIC,SIC2,Ticker match
AAT,"American Assets Trust, Inc.",46.43,$2.77B,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aat,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AAT,americanassetstrust.com,11455 El Camino Real,Suite 200,San Diego,CA,92130,United States,197,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=americanassetstrust.com,AAT,americanassetstrust.com,AMERICAN ASSETS TRUST,11455 EL CAMINO REAL STE 200,SAN DIEGO,CA,92130,US,Public,75,Investment and Holding,6798,67,TRUE
AAU,"Almaden Minerals, Ltd.",0.7854,$87.75M,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aau,,https://crawl.versium.com/finance.php?cmd=readall&ticker=YUMC,yumchina.com,Yum China Building,20 Tian Yao Qiao Road,Shanghai,,200030,China,450000,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=yumchina.com, , , , , , , , , , , , , ,
AAWW,Atlas Air Worldwide Holdings,26.34,$681M,n/a,Transportation,Transportation Services,https://www.nasdaq.com/symbol/aaww,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AAWW,atlasair.com,2000 Westchester Avenue,,Purchase,NY,10577,United States,3275,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=atlasair.com,AAWW,atlasair.com,ATLAS AIR WORLDWIDE HOLDINGS,2000 WESTCHESTER AVE,PURCHASE,NY,10577,US,Public,7500,"Transportation (Air Cargo, Charter and Courier)",4522,45,TRUE
AAXN,"Axon Enterprise, Inc.",57.86,$3.43B,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aaxn,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AAXN,axon.com,17800 North 85th Street,,Scottsdale,AZ,85255,United States,1155,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=axon.com,AAXN,axon.com,AXON,17800 N 85TH ST,SCOTTSDALE,AZ,85255,US,Public,699,,3480,,TRUE
AB,AllianceBernstein Holding L.P.,26.51,$2.56B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ab,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AB,alliancebernstein.com,1345 Avenue of the Americas,,New York,NY,10105,United States,3641,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=alliancebernstein.com,AB,alliancebernstein.com,ALLIANCEBERNSTEIN,1345 AVE OF THE AMERICAS,NEW YORK,NY,10105,US,Public,3450,Securities and Commodities,6282,62,TRUE
ABB,ABB Ltd,18.28,$38.99B,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABB,abb.com,Affolternstrasse 44,,Zurich,,8050,Switzerland,147000,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=abb.com,ABB,abb.com,ABB,PO BOX 8131 CH 8050,ZURICH SWITZERLAND,,,CH,Public,147000,Electrical Equipment and Appliances,3613,50,TRUE
ABBV,AbbVie Inc.,63.5,$93.88B,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABBV,abbvie.com,1 North Waukegan Road,,North Chicago,IL,60064,United States,30000,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=abbvie.com,ABBV,abbvie.com,ABBVIE,1 N WAUKEGAN RD,NORTH CHICAGO,IL,,US,Public,29000,Chemicals (Pharmaceutical and Drug),2834,28,TRUE
ABC,AmerisourceBergen Corporation (Holding Co),86.34,$17.99B,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABC,amerisourcebergen.com,1300 Morris Drive,,Chesterbrook,PA,19087,United States,21000,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=amerisourcebergen.com,ABC,amerisourcebergen.com,AMERISOURCEBERGEN CORPORATION,1300 MORRIS DR,CHESTERBROOK,PA,,US,Public,20000,"Manufactured Goods (Drug, Sundries)",5122,51,TRUE
ABCB,Ameris Bancorp,35.48,$2.47B,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABCB,amerisbank.com,"310 First Street, SE",,Moultrie,GA,31768,United States,1777,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=amerisbank.com,ABCB,amerisbank.com,AMERIS BANK,24 2/ND/ AVE,MOULTRIE,GA,32405,US,Public,0,Banks and Depository Institutions,6022,67,TRUE
ABDC,Alcentra Capital Corp.,9,$115.88M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABDC,alcentracapital.com,200 Park Avenue,Seventh Floor,New York,NY,10166,United States,,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=alcentracapital.com,,alcentracapital.com,ALCENTRA CAPITAL CORPORATION,,NEW YORK,NY,10001,US,Private,175,Securities and Commodities,6211,62,
ABEO,Abeona Therapeutics Inc.,2.43,$119.84M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABEO,abeonatherapeutics.com,1330 Avenue of the Americas,33rd Floor,New York,NY,10019,United States,83,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=abeonatherapeutics.com,,abeonatherapeutics.com,ABEONA THERAPEUTICS,11471 EUCLID AVE STE 211,CLEVELAND,OH,44106,US,Private,0,Chemicals (Pharmaceutical and Drug),2834,28,
ABEV,Ambev S.A.,4.68,$73.6B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev,,https://crawl.versium.com/finance.php?cmd=readall&ticker=SNP,sinopec.com,No. 22 Chaoyangmen North Street,Chaoyang District,Beijing,,100728,China,423543,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=sinopec.com, , , , , , , , , , , , , ,
ABG,Asbury Automotive Group Inc,89.44,$1.73B,2002,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/abg,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABG,asburyauto.com,"2905 Premiere Parkway, NW",Suite 300,Duluth,GA,30097,United States,8200,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=asburyauto.com,ABG,asburyauto.com,ASBURY AUTOMOTIVE GROUP,2905 PREMIERE PARKWAY NW STE 300,DULUTH,GA,30097,US,Public,8000,,5500,55,TRUE
ABIL,Ability Inc.,0.5999,$4.82M,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,,https://crawl.versium.com/finance.php?cmd=readall&ticker=LOW,lowes.com,1000 Lowe's Boulevard,,Mooresville,NC,28117,United States,300000,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=lowes.com, , , , , , , , , , , , , ,
ABIO,"ARCA biopharma, Inc.",5.67,$8.25M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/abio,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABIO,arcabio.com,11080 CirclePoint Road,Suite 140,Westminster,CO,80020,United States,15,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=arcabio.com,ABIO,arcabio.com,ARCA BIOPHARMA INC,11080 CIRCLEPOINT RD STE 140,WESTMINSTER,CO,80020,US,Public,11,Chemicals (Pharmaceutical and Drug),2835,,TRUE
ABM,ABM Industries Incorporated,38.4,$2.55B,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABM,abm.com,One Liberty Plaza,7th Floor,New York,NY,10006,United States,140000,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=abm.com,ABM,abm.com,ABM INDUSTRIES,ONE LIBERTY PLAZA 7TH FLOOR,NEW YORK,NY,10001,US,Public,140000,,7340,73,TRUE
ABMD,"ABIOMED, Inc.",190.13,$8.63B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABMD,abiomed.com,22 Cherry Hill Drive,,Danvers,MA,1923,United States,1143,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=abiomed.com,ABMD,abiomed.com,ABIOMED,22 CHERRY HILL DR,DANVERS,MA,,US,Public,1143,Medical / Dental Devices and Supplies,3841,38,TRUE
ABR,Arbor Realty Trust,11.96,$1.13B,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/abr,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABR,arbor.com,333 Earle Ovington Boulevard,Suite 900,Uniondale,NY,11553,United States,468,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=arbor.com,,arbor.com,ARBOR COMMERCIAL MORTGAGE LLC,333 EARLE OVINGTON BLVD STE 900,UNIONDALE,NY,11553,US,Private,424,"Business Services (Software, Programming, IT)",7373,73,
ABT,Abbott Laboratories,83.94,$148.36B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABT,abbott.com,100 Abbott Park Road,,Abbott Park,IL,60064,United States,103000,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=abbott.com,ABT,abbott.com,ABBOTT,100 ABBOTT PARK RD,ABBOTT PARK,IL,,US,Public,99000,Chemicals (Pharmaceutical and Drug),2834,28,TRUE
ABTX,"Allegiance Bancshares, Inc.",31.48,$666.06M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABTX,allegiancebank.com,"8847 West Sam Houston Parkway, North",Suite 200,Houston,TX,77040,United States,583,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=allegiancebank.com,,allegiancebank.com,ALLEGIANCE BANK,8727 W SAM HOUSTON PKWY N,HOUSTON,TX,77040,US,Private,350,Banks and Depository Institutions,6022,60,
